datetime,open,high,low,close,volume
2025.01.02 04:00,97.82600,97.86400,97.53700,97.71700,10762
2025.01.02 08:00,97.71600,97.71600,97.04500,97.47700,18879
2025.01.02 12:00,97.47700,97.72400,97.31600,97.46200,22722
2025.01.02 16:00,97.46200,98.02700,97.36400,97.70800,37524
2025.01.02 20:00,97.70900,97.79800,97.54200,97.68300,20712
2025.01.03 00:00,97.61000,97.77900,97.50600,97.68900,9806
2025.01.03 04:00,97.68900,97.84600,97.62900,97.77200,14186
2025.01.03 08:00,97.77100,97.82800,97.48200,97.69400,18439
2025.01.03 12:00,97.69400,97.88300,97.65000,97.70900,15058
2025.01.03 16:00,97.70900,97.83200,97.51400,97.60400,23205
2025.01.03 20:00,97.60300,97.84600,97.48400,97.65300,9869
2025.01.06 00:00,97.57700,98.28200,97.54500,98.14300,13776
2025.01.06 04:00,98.14300,98.29400,98.04100,98.27400,13939
2025.01.06 08:00,98.27400,98.58000,98.14300,98.50200,15149
2025.01.06 12:00,98.50200,98.89900,98.39700,98.49800,31777
2025.01.06 16:00,98.49800,98.66000,98.14100,98.29800,31614
2025.01.06 20:00,98.29800,98.45500,98.19200,98.43100,11757
2025.01.07 00:00,98.40400,98.96300,98.27000,98.94000,13650
2025.01.07 04:00,98.94000,99.01700,98.85900,98.93800,13677
2025.01.07 08:00,98.93900,99.10200,98.72500,99.02500,20301
2025.01.07 12:00,99.02600,99.15600,98.87000,98.87800,17514
2025.01.07 16:00,98.87600,98.97900,98.39900,98.46800,32313
2025.01.07 20:00,98.46800,98.50100,98.24900,98.43600,13961
2025.01.08 00:00,98.41500,98.65100,98.14300,98.28900,12328
2025.01.08 04:00,98.28900,98.63400,98.26400,98.57600,10748
2025.01.08 08:00,98.57500,98.59600,98.30700,98.37700,16928
2025.01.08 12:00,98.37800,98.39800,98.01700,98.14800,24438
2025.01.08 16:00,98.14800,98.42000,98.11900,98.29500,28047
2025.01.08 20:00,98.29300,98.48900,98.29300,98.41000,17906
2025.01.09 00:00,98.25600,98.41100,98.00900,98.03600,10805
2025.01.09 04:00,98.03600,98.12200,97.73800,97.98400,14544
2025.01.09 08:00,97.98300,98.06200,97.67100,97.87200,18560
2025.01.09 12:00,97.87200,97.92800,97.65800,97.69800,15715
2025.01.09 16:00,97.69800,97.96600,97.69600,97.93900,14569
2025.01.09 20:00,97.93900,98.01300,97.90800,97.92400,5567
2025.01.10 00:00,97.92400,98.10100,97.77500,98.02800,11626
2025.01.10 04:00,98.02800,98.18900,97.97900,98.07900,10387
2025.01.10 08:00,98.07900,98.13800,97.47200,97.63900,16224
2025.01.10 12:00,97.64100,97.89900,97.42800,97.55600,20375
2025.01.10 16:00,97.55600,97.62400,96.78400,97.03100,39340
2025.01.10 20:00,97.03000,97.19500,96.84500,96.86100,16011
2025.01.13 00:00,96.86100,97.22900,96.83200,96.95400,11651
2025.01.13 04:00,96.95500,97.10900,96.48200,96.62500,16744
2025.01.13 08:00,96.62500,96.99100,96.36700,96.41600,22166
2025.01.13 12:00,96.41600,96.77000,96.37600,96.66500,22014
2025.01.13 16:00,96.66200,97.05500,96.55000,96.90600,27056
2025.01.13 20:00,96.90600,97.26200,96.86100,97.24500,11729
2025.01.14 00:00,97.22300,97.68500,97.10200,97.42800,16864
2025.01.14 04:00,97.42800,97.67000,97.30800,97.42700,14765
2025.01.14 08:00,97.42800,97.87100,97.39100,97.75200,21859
2025.01.14 12:00,97.75100,97.77800,97.25400,97.40700,21640
2025.01.14 16:00,97.40800,97.94900,97.36700,97.76300,28738
2025.01.14 20:00,97.76200,97.84800,97.62600,97.79500,15521
2025.01.15 00:00,97.79300,97.85600,97.62600,97.68300,9447
2025.01.15 04:00,97.68200,97.81400,97.28700,97.32900,12491
2025.01.15 08:00,97.32900,97.48700,97.22600,97.34200,18955
2025.01.15 12:00,97.34100,97.64900,97.20900,97.63000,18753
2025.01.15 16:00,97.62800,97.65000,97.23100,97.36700,30498
2025.01.15 20:00,97.36800,97.47000,97.32900,97.41000,9261
2025.01.16 00:00,97.26400,97.67900,96.71600,96.79600,14839
2025.01.16 04:00,96.79800,96.88300,96.57600,96.76300,18834
2025.01.16 08:00,96.76200,97.13300,96.68200,96.72000,18097
2025.01.16 12:00,96.72100,96.84700,96.64800,96.75600,19179
